obs_no;no,;paper;title;country;X;Y;year;growth_season;N_fert_min;N_fert_man;N_fix;N_dep_image;N_dep_emep;N_cs;N_spm;N_min;N_hc;N_res;N_place;N_place_depth;N_source;N_time_splits;N_timing1;N_timing2;N_timing3;crop_type;rotation;mn_prec;Prec_avg_crop_gr;Prec_var;tot_prec_crop_gr;Temp_avg_cp_season;ET_avg_gr;irrigation;Depth ;Texture;SOM ;pH;clay;CaCo3 ;N_av_soil ;Total_N ;P_dose;K_dose;ind_type;ind_unit;NUE_value;se_NUE;LSD_NUE;sd_NUE;N_up_fert;LSD_fertup;sd_fertup;se_fertup;n_rep_t;N_up_unfert;LSD_unfertup;sd_unfertup;se_unfertup;n_rep_c;N_appl;n_dose_env;XCEC;xnit;XPH;XSOC;XSAND;XSILT;XCLAY;LATNR;LONNR;pot_eva;mn_temp;prec_mn;xsom
11;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;UAN;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;37,8;;;;156,0;;;;3;63,0;;;;3;246;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;485;361;1336,2;10,9;391,1;19,93
12;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2007;may -oct ;246;;;;;;;;;;;;UAN + NBPT + DCD;;;;;maize;maize-maize;;;;;;;;0-15;clay-loam;25;7,6;33,3;;27,8;;;;NUEagr;%;35,8;;;;151,0;;;;3;63,0;;;;3;246;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;409;361;1336,2;10,9;391,1;19,93
13;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;U;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;33,7;;;;121,0;;;;3;53,0;;;;3;202;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;409;361;1336,2;10,9;391,1;19,93
14;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;28,2;;;;110,0;;;;3;53,0;;;;3;202;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;409;361;1336,2;10,9;391,1;19,93
15;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;UAN;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;30,7;;;;115,0;;;;3;53,0;;;;3;202;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;409;361;1336,2;10,9;391,1;19,93
16;2;Halvorson et al, (2010);Nitrogen source effects on nitrous oxide emissions from irrigated no-till corn,;USA;-104,98;40,65;2008;may -oct ;202;;;;;;;;;;;;UAN + NBPT + DCD;;;;;maize;maize-maize;348;;15;277;;;360;0-15;clay-loam;25;7,6;33,3;;18,9;;;;NUEagr;%;36,1;;;;126,0;;;;3;53,0;;;;3;202;;141,33;1,07;7,75;9,97;45,68;22,90;31,42;307;361;1336,2;10,9;391,1;19,93
17;3;Sanz-Cobena et al, (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;8,4;;;;147,0;;;;3;126,0;;;;3;250;;230,50;1,60;7,75;18,20;31,63;41,75;26,67;485;361;1221,9;15,2;415,2;36,40
18;3;Sanz-Cobena et al, (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U + NBPT;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;19,2;;;;174,0;;;;3;126,0;;;;3;250;;230,50;1,60;7,75;18,20;31,63;41,75;26,67;409;361;1221,9;15,2;415,2;36,40
19;3;Sanz-Cobena et al, (2012);Gaseous emissions of N2O and NO and NO3− leaching from urea applied with urease and nitrification inhibitors to a maize (Zea mays) crop, ;Spain ;-3,28;40,53;2009;apr - oct ;250;;;;;;;;;;;;U + DCD + NBPT;;;;;maize;;430;;;;;;730;0-28;sandy-clay-loam;16,4;7,9;28;13,1;;;50;50;NUEagr;%;19,2;;;;174,0;;;;3;126,0;;;;3;250;;230,50;1,60;7,75;18,20;31,63;41,75;26,67;409;361;1221,9;15,2;415,2;36,40
20;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;36,0;4;;;167,0;;;11,0;;115,0;;;16,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;409;361;901,8;8,3;919,9;59,43
21;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;25,0;6,3;;;152,0;;;9,0;;115,0;;;16,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;409;361;901,8;8,3;919,9;59,43
22;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2008;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;38,0;6,5;;;170,0;;;9,0;;115,0;;;16,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;409;361;901,8;8,3;919,9;59,43
23;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;44,0;12,8;;;184,0;;;19,0;;119,0;;;24,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;409;361;901,8;8,3;919,9;59,43
24;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;27,0;8,6;;;158,0;;;16,0;;119,0;;;24,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;307;361;901,8;8,3;919,9;59,43
25;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2009;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;51,0;9,6;;;193,0;;;12,0;;119,0;;;24,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;307;361;901,8;8,3;919,9;59,43
26;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;65,0;7,2;;;241,0;;;15,0;;146,0;;;19,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;307;361;901,8;8,3;919,9;59,43
27;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U + PCU;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;66,0;5,2;;;242,0;;;14,0;;146,0;;;19,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;307;361;901,8;8,3;919,9;59,43
28;4;Venterea et al, (2011);Fertilizer Source and Tillage Effects on Yield‐Scaled Nitrous Oxide Emissions in a Corn Cropping System;USA;-93,07;44,75;2010;may - sep;150;;;;;;;;;;;;U + NBPT + DCD;;;;;maize;corn-soybean;879;;;;;;;0-20;silt-loam;56;;23;;;;9;4,5;NUEagr;%;54,0;5,4;;;225,0;;;4,0;;146,0;;;19,0;;150;;234,00;3,17;6,20;29,72;22,60;53,08;24,32;287;361;901,8;8,3;919,9;59,43
29;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Efficiency of Furrow-Irrigated Corn;USA;-91,27;33,80;2011;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;68,8;;;;272,0;;;;4;164,0;;;;4;157;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;409;361;1245;18,8;1492,3;33,67
30;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2011;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;66,2;;;;268,0;;;;4;164,0;;;;4;157;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;409;361;1245;18,8;1492,3;33,67
31;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2011;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;55,7;;;;295,0;;;;4;164,0;;;;4;235;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;409;361;1245;18,8;1492,3;33,67
32;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2011;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;22;6,3;;;;;;;NUEagr;%;50,6;;;;283,0;;;;4;164,0;;;;4;235;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;307;361;1245;18,8;1492,3;33,67
33;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2012;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;96,2;;;;203,0;;;;4;52,0;;;;4;157;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;307;361;1245;18,8;1492,3;33,67
34;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2012;end mar  - jul ;157;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;105,1;;;;217,0;;;;4;52,0;;;;4;157;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;307;361;1245;18,8;1492,3;33,67
35;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2012;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;2;PP;V6;;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;102,1;;;;292,0;;;;4;52,0;;;;4;235;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;307;361;1245;18,8;1492,3;33,67
36;5;Roberts et al, (2016);Fertilizer Nitrogen Recovery Effi ciency of Furrow-Irrigated Corn;USA;-91,27;33,80;2012;end mar  - jul ;235;;;;;;;;;;;;U + NBPT;3;PP;V6;V12;maize;;;;;;;;;;silt-loam;18,1;6,8;;;;;;;NUEagr;%;100,4;;;;288,0;;;;4;52,0;;;;4;235;;191,33;1,45;6,40;16,83;14,75;37,32;47,95;287;361;1245;18,8;1492,3;33,67
37;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2014/2015;may - sept;155;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;67,4;8,28;;;216,0;;;;6;111,5;;;;6;155;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;409;361;965,6;11,2;1088,6;84,67
38;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2014/2015;may - sept;200;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;59,2;6,5;;;229,8;;;;6;111,5;;;;6;200;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;409;361;965,6;11,2;1088,6;84,67
39;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2014/2015;may - sept;200;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;68,6;5,34;;;248,7;;;;6;111,5;;;;6;200;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;307;361;965,6;11,2;1088,6;84,67
40;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2014/2015;may - sept;245;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;56,8;4,74;;;250,6;;;;6;111,5;;;;6;245;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;307;361;965,6;11,2;1088,6;84,67
41;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2014/2015;may - sept;245;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;50,7;6,22;;;235,7;;;;6;111,5;;;;6;245;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;307;361;965,6;11,2;1088,6;84,67
42;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;110;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;52,4;10,34;;;157,9;;;;6;100,3;;;;6;110;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;307;361;965,6;11,2;1088,6;84,67
43;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;155;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;50,9;5,02;;;179,2;;;;6;100,3;;;;6;155;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;287;361;965,6;11,2;1088,6;84,67
44;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;155;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;60,0;8,86;;;193,4;;;;6;100,3;;;;6;155;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;287;361;965,6;11,2;1088,6;84,67
45;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;200;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;38,0;8,88;;;176,3;;;;6;100,3;;;;6;200;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;287;361;965,6;11,2;1088,6;84,67
46;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;200;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;52,9;10,64;;;206,2;;;;6;100,3;;;;6;200;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;287;361;965,6;11,2;1088,6;84,67
47;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;245;;;;;;;;;;;;UAN;1;V3;;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;34,2;6,8;;;184,0;;;;6;100,3;;;;6;245;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;433;361;965,6;11,2;1088,6;84,67
48;6;Mueller et al, (2017);Late-split nitrogen applications increased maize plant nitrogen recovery but not yield under moderate to high nitrogen rates,;USA;-101,42;48,30;2016;end apr - sept;245;;;;;;;;;;;;UAN;2;V3;V8;;maize;maize-soybean;;460;;;;;;0-20;sandy-loam;17,0;6,3;;;;;;;NUEagr;%;49,7;7,38;;;222,1;;;;6;100,3;;;;6;245;;163,50;6,09;6,00;42,33;57,20;29,45;13,42;433;361;965,6;11,2;1088,6;84,67
49;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;45,0;;;;88,0;;;;3;52,0;;;;3;80;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;409;361;1425,8;21,5;1380,6;48,13
50;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;120;;;;;;;;;;;;U ;;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;33,3;;;;92,0;;;;3;52,0;;;;3;120;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;307;361;1425,8;21,5;1380,6;48,13
51;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;1;;;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;52,0;;;;123,0;;;;3;73,0;;;;3;80;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;307;361;1425,8;21,5;1380,6;48,13
52;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;PE;V6;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;78,0;;;;144,0;;;;3;73,0;;;;3;80;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;307;361;1425,8;21,5;1380,6;48,13
53;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;PE;V12;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;69,0;;;;138,0;;;;3;73,0;;;;3;80;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;307;361;1425,8;21,5;1380,6;48,13
54;7;Kitonyo et al, (2018) ;Nitrogen fertilization modifies maize yield response to tillage and stubble in a sub-humid tropical environment;Kenya;41,55;-8,58;2015-2016;oct  - ;80;;;;;;;;;;;;U ;2;V6;V12;;maize;;;;;600;;;;;clay;44;4,7;;;;;;;NUEagr;%;54,0;;;;121,0;;;;3;73,0;;;;3;80;;229,83;2,54;5,80;24,07;20,82;28,55;50,63;287;361;1425,8;21,5;1380,6;48,13
55;8;Yan et al, (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115,00;36,90;2013;mid jun - oct;114,1;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;96,0;4;;;189,8;;;;4;80,2;;;;4;114,1;;239,17;0,85;8,20;6,57;29,58;47,27;23,15;307;361;1165,8;15,4;631,4;13,13
56;8;Yan et al, (2016);"Interaction between plant density and nitrogen management strategy in improving maize grain yield and nitrogen use e""ciency on the North China Plain,";China;115,00;36,90;2013;mid jun - oct;163;;;;;;;;;;;;U ;;;;;maize;;;;;;;;90;;clay-loam;14,2;8,3;;;;;;;NUEagr;%;91,0;5;;;228,6;;;;4;80,2;;;;4;163;;239,17;0,85;8,20;6,57;29,58;47,27;23,15;307;361;1165,8;15,4;631,4;13,13
